,ID УУ,Адрес,Полный адрес,Округ,UNOM,Группа,№ ОДС,Адрес ОДС,Потребитель (или УК),ЦТП
20,785479040,"11-я Парковая ул., д. 29","город Москва, 11-я Парковая улица, дом 29",ВАО,18796,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/124
21,303445886,"11-я Парковая ул., д. 3, к. 1","город Москва, 11-я Парковая улица, дом 3, корпус 1",ВАО,18782,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/066
22,175263153,"11-я Парковая ул., д. 3, к. 2","город Москва, 11-я Парковая улица, дом 3, корпус 2",ВАО,18783,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ООО ""РЭУ-29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/066
23,233623864,"11-я Парковая ул., д. 31","город Москва, 11-я Парковая улица, дом 31",ВАО,18797,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/124
24,179071798,"11-я Парковая ул., д. 34","город Москва, 11-я Парковая улица, дом 34",ВАО,18798,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/021
25,785478592,"11-я Парковая ул., д. 37, к. 1","город Москва, 11-я Парковая улица, дом 37, корпус 1",ВАО,18800,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/025-1
26,785478603,"11-я Парковая ул., д. 37, к. 2","город Москва, 11-я Парковая улица, дом 37, корпус 2",ВАО,18801,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/025-2
27,785478615,"11-я Парковая ул., д. 37, к. 3","город Москва, 11-я Парковая улица, дом 37, корпус 3",ВАО,18802,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/025-3
28,335589824,"11-я Парковая ул., д. 38","город Москва, 11-я Парковая улица, дом 38",ВАО,18803,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/021
29,785478532,"11-я Парковая ул., д. 39, к. 1","город Москва, 11-я Парковая улица, дом 39, корпус 1",ВАО,18804,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/024-3
30,785478538,"11-я Парковая ул., д. 39, к. 2","город Москва, 11-я Парковая улица, дом 39, корпус 2",ВАО,18805,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/024-4
31,785478546,"11-я Парковая ул., д. 41, к. 1","город Москва, 11-я Парковая улица, дом 41, корпус 1",ВАО,18806,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/024-5
32,785481424,"11-я Парковая ул., д. 41, к. 2","город Москва, 11-я Парковая улица, дом 41, корпус 2",ВАО,18807,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/024-6
33,785496030,"11-я Парковая ул., д. 42, к. 1","город Москва, 11-я Парковая улица, дом 42, корпус 1",ВАО,18808,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""МОСКОВСКИЙ ПЕНСИОНЕР""",04-06-0604/016
34,334528684,"11-я Парковая ул., д. 42, к. 2","город Москва, 11-я Парковая улица, дом 42, корпус 2",ВАО,18809,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""МОСКОВСКИЙ ПЕНСИОНЕР""",04-06-0604/016
35,785496606,"11-я Парковая ул., д. 44, к. 2","город Москва, 11-я Парковая улица, дом 44, корпус 2",ВАО,18811,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52",ЖСК ПЕНСИОНЕРОВ ФРУНЗЕНСКОГО РАЙОНА,04-06-0604/016
36,785494676,"11-я Парковая ул., д. 44, к. 4","город Москва, 11-я Парковая улица, дом 44, корпус 4",ВАО,18813,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""НИИПРОЕКТ""",04-06-0604/016
37,785496416,"11-я Парковая ул., д. 48, к. 1","город Москва, 11-я Парковая улица, дом 48, корпус 1",ВАО,18814,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""КРИСТАЛЛ """,04-06-0604/014
38,785496330,"11-я Парковая ул., д. 48, к. 2","город Москва, 11-я Парковая улица, дом 48, корпус 2",ВАО,18815,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""ЭНЕРГИЯ""",04-06-0604/014
39,785496204,"11-я Парковая ул., д. 48, к. 3","город Москва, 11-я Парковая улица, дом 48, корпус 3",ВАО,18816,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0604/014
40,175693,"11-я Парковая ул., д. 48А","город Москва, 11-я Парковая улица, дом 48А",ВАО,2115607,Бюджет,,,ГБОУ Школа № 2033,04-06-0604/014
41,785506783,"11-я Парковая ул., д. 49","город Москва, 11-я Парковая улица, дом 49",ВАО,2105485,Бюджет,,,"ГБУ ДО ""МГФСО""",04-06-0604/183
42,175661,"11-я Парковая ул., д. 50","город Москва, 11-я Парковая улица, дом 50",ВАО,2115879,Бюджет,,,ГБОУ Школа № 2200,04-06-0603/003
43,785489294,"11-я Парковая ул., д. 52, к. 5","город Москва, 11-я Парковая улица, дом 52, корпус 5",ВАО,18821,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0603/003
44,390320008,"11-я Парковая ул., д. 54, к. 1","город Москва, 11-я Парковая улица, дом 54, корпус 1",ВАО,18823,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0603/003
45,358873998,"11-я Парковая ул., д. 54, к. 2","город Москва, 11-я Парковая улица, дом 54, корпус 2",ВАО,18824,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0603/003
46,393379525,"11-я Парковая ул., д. 54, к. 3","город Москва, 11-я Парковая улица, дом 54, корпус 3",ВАО,18825,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0603/003
47,1073664,"11-я Парковая ул., д. 5А","город Москва, 11-я Парковая улица, дом 5А",ВАО,2105350,Бюджет,,,ГБОУ Школа № 1811,04-07-0604/161
48,246142034,"11-я Парковая ул., д. 6","город Москва, 11-я Парковая улица, дом 6",ВАО,18785,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ООО ""РЭУ-29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/052
49,192025397,"11-я Парковая ул., д. 8","город Москва, 11-я Парковая улица, дом 8",ВАО,18787,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/052
50,334559754,"11-я Парковая ул., д. 9/35","город Москва, 11-я Парковая улица, дом 9/35",ВАО,18788,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ООО ""РЭУ-29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/161
51,182649,"12-я Парковая ул., д. 13","город Москва, 12-я Парковая улица, дом 13",ВАО,2115587,Бюджет,,,"ГБПОУ ""МКАГ""",04-07-0604/160
52,184764182,"13-я Парковая ул., д. 11","город Москва, 13-я Парковая улица, дом 11",ВАО,18832,МКД,ОДС №2-Восточное Измайлово,"город Москва, Средняя Первомайская улица, дом 44","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/196
53,785470413,"13-я Парковая ул., д. 14","город Москва, 13-я Парковая улица, дом 14",ВАО,18833,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/028
54,175253995,"13-я Парковая ул., д. 16, к. 1","город Москва, 13-я Парковая улица, дом 16, корпус 1",ВАО,18834,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/028
55,175258790,"13-я Парковая ул., д. 16, к. 2","город Москва, 13-я Парковая улица, дом 16, корпус 2",ВАО,18835,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/028
56,785470455,"13-я Парковая ул., д. 16, к. 3","город Москва, 13-я Парковая улица, дом 16, корпус 3",ВАО,18836,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/028
57,785470371,"13-я Парковая ул., д. 16, к. 4","город Москва, 13-я Парковая улица, дом 16, корпус 4",ВАО,18837,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/028
58,175260211,"13-я Парковая ул., д. 16, к. 5","город Москва, 13-я Парковая улица, дом 16, корпус 5",ВАО,18838,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/028
59,161851538,"13-я Парковая ул., д. 16, к. 6","город Москва, 13-я Парковая улица, дом 16, корпус 6",ВАО,18839,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/027
60,175276102,"13-я Парковая ул., д. 17","город Москва, 13-я Парковая улица, дом 17",ВАО,18840,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/022
61,181246,"13-я Парковая ул., д. 18А","город Москва, 13-я Парковая улица, дом 18А",ВАО,2115588,Бюджет,,,ГБОУ Школа № 1811,04-07-0604/027
62,147447612,"13-я Парковая ул., д. 19","город Москва, 13-я Парковая улица, дом 19",ВАО,18841,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/022
63,173675221,"13-я Парковая ул., д. 20, к. 1","город Москва, 13-я Парковая улица, дом 20, корпус 1",ВАО,18842,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/026
64,175261178,"13-я Парковая ул., д. 20, к. 2","город Москва, 13-я Парковая улица, дом 20, корпус 2",ВАО,18843,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/026
65,368749479,"13-я Парковая ул., д. 20, к. 3","город Москва, 13-я Парковая улица, дом 20, корпус 3",ВАО,18844,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/026
66,190959011,"13-я Парковая ул., д. 20, к. 4","город Москва, 13-я Парковая улица, дом 20, корпус 4",ВАО,18845,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/026
67,152761371,"13-я Парковая ул., д. 21","город Москва, 13-я Парковая улица, дом 21",ВАО,18846,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/022
68,1944419714,"13-я Парковая ул., д. 21А","город Москва, 13-я Парковая улица, дом 21А",ВАО,2105346,Бюджет,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21",ГБОУ Школа № 1811,04-07-0604/022
69,785471885,"13-я Парковая ул., д. 22, к. 4","город Москва, 13-я Парковая улица, дом 22, корпус 4",ВАО,18847,МКД,ОДС №5-Восточное Измайлово,"город Москва, 13-я Парковая улица, дом 21","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/159
70,233646604,"13-я Парковая ул., д. 24/51","город Москва, 13-я Парковая улица, дом 24/51",ВАО,18848,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0604/173
71,785495720,"13-я Парковая ул., д. 25, к. 1","город Москва, 13-я Парковая улица, дом 25, корпус 1",ВАО,18849,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""РАБОТНИК ЭНЦИКЛОПЕДИИ""",04-06-0604/018
72,785496428,"13-я Парковая ул., д. 25, к. 2","город Москва, 13-я Парковая улица, дом 25, корпус 2",ВАО,18850,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""ТРУЖЕНИК""",04-06-0604/018
73,233652732,"13-я Парковая ул., д. 26","город Москва, 13-я Парковая улица, дом 26",ВАО,64134,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0604/173
74,785494683,"13-я Парковая ул., д. 26, к. 3","город Москва, 13-я Парковая улица, дом 26, корпус 3",ВАО,18853,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ЖСК ""ДРУЖБА""",04-06-0604/173
75,785496115,"13-я Парковая ул., д. 27, к. 2","город Москва, 13-я Парковая улица, дом 27, корпус 2",ВАО,18855,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖК ""МАШИНОСТРОИТЕЛЬ""",04-06-0604/018
76,785496142,"13-я Парковая ул., д. 27, к. 3","город Москва, 13-я Парковая улица, дом 27, корпус 3",ВАО,18856,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""ЧАЙКА""",04-06-0604/014
77,785495914,"13-я Парковая ул., д. 27, к. 4","город Москва, 13-я Парковая улица, дом 27, корпус 4",ВАО,18857,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖК ""СОВЕТСКАЯ МЕДИЦИНА""",04-06-0604/018
78,175718,"13-я Парковая ул., д. 29","город Москва, 13-я Парковая улица, дом 29",ВАО,2116177,Бюджет,,,ГБОУ Школа № 2033,04-06-0604/014
79,1072695,"13-я Парковая ул., д. 30","город Москва, 13-я Парковая улица, дом 30",ВАО,2404897,Бюджет,,,ГБОУ Школа № 2200,04-06-0601/111
80,785496421,"13-я Парковая ул., д. 31, к. 1","город Москва, 13-я Парковая улица, дом 31, корпус 1",ВАО,18864,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ООО ""ЖИЛИЩНИК 365""",04-06-0604/014
81,785496379,"13-я Парковая ул., д. 31, к. 2","город Москва, 13-я Парковая улица, дом 31, корпус 2",ВАО,18865,МКД,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52","ЖСК ""Учитель""",04-06-0604/014
82,785497579,"13-я Парковая ул., д. 31, к. 3","город Москва, 13-я Парковая улица, дом 31, корпус 3",ВАО,18866,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0604/014
83,785496734,"13-я Парковая ул., д. 32","город Москва, 13-я Парковая улица, дом 32",ВАО,18867,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ООО ""ЖИЛИЩНИК 365""",04-06-0601/107
84,175705,"13-я Парковая ул., д. 33","город Москва, 13-я Парковая улица, дом 33",ВАО,2115880,Бюджет,,,ГБОУ Школа № 2033,04-06-0601/100
85,785496721,"13-я Парковая ул., д. 34, к. 1","город Москва, 13-я Парковая улица, дом 34, корпус 1",ВАО,18868,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ООО ""ЖИЛИЩНИК 365""",04-06-0601/102
86,785496689,"13-я Парковая ул., д. 34, к. 2","город Москва, 13-я Парковая улица, дом 34, корпус 2",ВАО,18869,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ООО ""ЖИЛИЩНИК 365""",04-06-0601/102
87,318117805,"13-я Парковая ул., д. 35, к. 5","город Москва, 13-я Парковая улица, дом 35, корпус 5",ВАО,18874,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0603/003
88,785494076,"13-я Парковая ул., д. 36","город Москва, 13-я Парковая улица, дом 36",ВАО,18875,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ООО ""ЖИЛИЩНИК 365""",04-06-0601/109
89,379896071,"13-я Парковая ул., д. 37, к. 1","город Москва, 13-я Парковая улица, дом 37, корпус 1",ВАО,18876,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0601/100
90,318126980,"13-я Парковая ул., д. 37, к. 2","город Москва, 13-я Парковая улица, дом 37, корпус 2",ВАО,18877,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0601/100
91,385274426,"13-я Парковая ул., д. 37, к. 3","город Москва, 13-я Парковая улица, дом 37, корпус 3",ВАО,18878,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0601/100
92,785494083,"13-я Парковая ул., д. 38, к. 3","город Москва, 13-я Парковая улица, дом 38, корпус 3",ВАО,2115437,МКД,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ИЗМАЙЛОВО""",04-06-0601/109
93,192033087,"13-я Парковая ул., д. 4","город Москва, 13-я Парковая улица, дом 4",ВАО,18830,МКД,ОДС №2-Восточное Измайлово,"город Москва, Средняя Первомайская улица, дом 44","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/044
