,№ п/п,Номер ТП,Адрес ТП,Вид ТП,Тип по размещению,Источник теплоснабжения,Административный округ (ТП),Муниципальный район,Дата ввода в эксплуатацию,Балансодержатель,Адрес строения,Тепловая нагрузка ГВС ср.,Тепловая нагрузка ГВС факт.,Тепловая нагрузка отопления строения,Тепловая нагрузка вентиляции строения,Диспетчеризация
15,16,04-02-0614/021,"Охотничья ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"Большая Остроумовская ул., д.13",0.057,0.1345,0.23,0.0,да
16,17,04-02-0614/021,"Охотничья ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"Егерская ул., д.10",0.04,0.088,0.08,0.0,да
17,18,04-02-0614/021,"Охотничья ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"Охотничья ул., д.6",0.18,0.396,0.35,0.0,да
18,19,04-02-0614/021,"Охотничья ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"Большая Остроумовская ул., д.17",0.04,0.088,0.17,0.0,да
19,20,04-02-0614/021,"Охотничья ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"Большая Остроумовская ул., д.11, корп.3",0.06,0.132,0.13,0.0,да
20,21,04-02-0614/021,"Охотничья ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"Большая Остроумовская ул., д.7",0.0153,0.05355,0.16,0.19,да
21,22,04-02-0614/021,"Охотничья ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"Большая Остроумовская ул., д.11, корп.1",0.04,0.089248,0.08,0.0,да
22,23,04-02-0614/021,"Охотничья ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"Большая Остроумовская ул., д.11, корп.2",0.04,0.088,0.08,0.0,да
23,24,04-02-0614/021,"Охотничья ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"Охотничья ул., д.3",0.12,0.264195,0.28,0.0,да
24,25,04-02-0614/021,"Охотничья ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"Большая Остроумовская ул., д.15",0.06,0.132,0.16,0.0,да
25,26,04-04-0223/008,"Свободный просп., д.12/23",ИТП,Подвальное,ТЭЦ №22,Восточный,район Новогиреево,1965-01-01,ПАО «МОЭК»,"Свободный просп., д.12/23",0.12,0.26478,0.3,0.0,да
26,27,04-10-046,"Святоозерская ул., д.11, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2005-01-01,ПАО «МОЭК»,"Святоозерская ул., д.9",0.913,2.0476,0.8222,0.0,нет
27,28,04-10-046,"Святоозерская ул., д.11, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2005-01-01,ПАО «МОЭК»,"ул. Руднёвка, д.14",0.7273,1.71615,0.85711,0.0,нет
28,29,04-10-046,"Святоозерская ул., д.11, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2005-01-01,ПАО «МОЭК»,"Святоозерская ул., д.5",0.363071,0.8098985,0.711,0.0,нет
29,30,04-10-046,"Святоозерская ул., д.11, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2005-01-01,ПАО «МОЭК»,"Святоозерская ул., д.11",0.43,0.985,1.072155,0.0,нет
30,31,04-10-046,"Святоозерская ул., д.11, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2005-01-01,ПАО «МОЭК»,"Святоозерская ул., д.3",0.363116,0.8099975,0.711,0.0,нет
31,32,04-10-046,"Святоозерская ул., д.11, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2005-01-01,ПАО «МОЭК»,"Святоозерская ул., д.7",0.0065,0.02275,0.008836,0.0,нет
32,33,04-10-046,"Святоозерская ул., д.11, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2005-01-01,ПАО «МОЭК»,"Святоозерская ул., д.3, стр.1",0.0004,0.0014,0.02715,0.0,нет
33,34,04-06-0603/014,"ул. Константина Федина, д.1, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1966-01-01,ПАО «МОЭК»,"ул. Константина Федина, д.2, корп.2",0.09,0.2006,0.29,0.0,да
34,35,04-06-0603/014,"ул. Константина Федина, д.1, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1966-01-01,ПАО «МОЭК»,"ул. Константина Федина, д.1, корп.1",0.135,0.297,0.26,0.0,да
35,36,04-06-0603/014,"ул. Константина Федина, д.1, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1966-01-01,ПАО «МОЭК»,"5-я Парковая ул., д.60А",0.017,0.0595,0.35,0.48,да
36,37,04-06-0603/014,"ул. Константина Федина, д.1, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1966-01-01,ПАО «МОЭК»,"ул. Константина Федина, д.1, корп.2",0.135,0.297,0.26,0.0,да
37,38,04-06-0603/014,"ул. Константина Федина, д.1, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1966-01-01,ПАО «МОЭК»,"ул. Константина Федина, д.2, корп.1",0.089995,0.200914,0.33,0.04,да
38,39,04-04-0224/008-01,"Союзный просп., д.7",ИТП,Подвальное,ТЭЦ №22,Восточный,район Новогиреево,2012-09-01,ПАО «МОЭК»,"Союзный просп., д.7",0.0459,0.16065,0.1935,0.145,да
39,40,04-09-216,"Новокосинская ул., д.17, корп.5, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1995-01-01,ПАО «МОЭК»,"Новокосинская ул., д.17, корп.4",0.188636,0.4152358,0.5293,0.0,нет
40,41,04-09-216,"Новокосинская ул., д.17, корп.5, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1995-01-01,ПАО «МОЭК»,"Новокосинская ул., д.17, корп.5",0.19,0.418,0.5293,0.0,нет
41,42,04-09-216,"Новокосинская ул., д.17, корп.5, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1995-01-01,ПАО «МОЭК»,"Новокосинская ул., д.17, корп.3",0.199239,0.4621548,0.52754,0.0,нет
42,43,04-09-216,"Новокосинская ул., д.17, корп.5, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1995-01-01,ПАО «МОЭК»,"Новокосинская ул., д.17Б",0.10754,0.37639,0.2683,0.09515,нет
43,44,04-09-216,"Новокосинская ул., д.17, корп.5, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1995-01-01,ПАО «МОЭК»,"Новокосинская ул., д.17, корп.1",0.19,0.418,0.5293,0.0,нет
44,45,04-09-216,"Новокосинская ул., д.17, корп.5, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1995-01-01,ПАО «МОЭК»,"Новокосинская ул., д.17, корп.7",0.220496,0.4946384,0.400825,0.0,нет
45,46,04-09-216,"Новокосинская ул., д.17, корп.5, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1995-01-01,ПАО «МОЭК»,"Новокосинская ул., д.17, корп.2",0.189321,0.4173967,0.53315,0.0,нет
46,47,04-06-0603/004,"Щёлковское шоссе, д.58А",ИТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.58А",0.03,0.105,0.24,0.0,да
47,48,04-01-0607/006,"Большая Черкизовская ул., д.26, корп.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1964-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.28, корп.1",0.09791,0.215402,0.23397,0.0,да
48,49,04-01-0607/006,"Большая Черкизовская ул., д.26, корп.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1964-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.26, корп.3",0.25,0.55,0.463,0.0,да
49,50,04-01-0607/006,"Большая Черкизовская ул., д.26, корп.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1964-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.26, корп.4",0.11,0.242,0.207,0.0,да
50,51,04-01-0607/006,"Большая Черкизовская ул., д.26, корп.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1964-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.28, корп.2",0.08,0.176,0.157,0.0,да
51,52,04-01-0607/006,"Большая Черкизовская ул., д.26, корп.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1964-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.28, корп.3",0.12,0.264,0.275,0.0,да
52,53,04-01-0607/006,"Большая Черкизовская ул., д.26, корп.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1964-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.24Б",0.03,0.105,0.1,0.08,да
53,54,04-01-0607/006,"Большая Черкизовская ул., д.26, корп.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1964-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.24, корп.1",0.19,0.422368,0.397,0.0,да
54,55,04-01-0607/006,"Большая Черкизовская ул., д.26, корп.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1964-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.26, корп.2",0.16,0.352,0.315,0.0,да
55,56,04-01-0607/006,"Большая Черкизовская ул., д.26, корп.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1964-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.30, корп.5",0.23,0.506,0.488,0.0,да
56,57,04-01-0607/006,"Большая Черкизовская ул., д.26, корп.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1964-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.30А, стр.1",0.0,0.0,0.0,0.0,да
57,58,04-01-0607/006,"Большая Черкизовская ул., д.26, корп.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1964-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.28А",0.0347,0.12145,0.261,0.23,да
58,59,04-01-0607/006,"Большая Черкизовская ул., д.26, корп.3, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1964-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.26",0.0314,0.1099,0.225,0.872,да
59,60,04-06-0604/012,"16-я Парковая ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"16-я Парковая ул., д.41",0.05,0.175,0.19,0.0,да
60,61,04-06-0604/012,"16-я Парковая ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"16-я Парковая ул., д.43, корп.1",0.22,0.484,0.49,0.0,да
61,62,04-06-0604/012,"16-я Парковая ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"16-я Парковая ул., д.39",0.146,0.329,0.296,0.0516,да
62,63,04-06-0604/012,"16-я Парковая ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"16-я Парковая ул., д.43, корп.2",0.22,0.484,0.5,0.0,да
63,64,04-04-0212/008,"ул. Молдагуловой, д.22, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Вешняковская ул., д.20Г",0.004,0.014,0.013,0.0,да
64,65,04-04-0212/008,"ул. Молдагуловой, д.22, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.20А",0.09,0.315,0.18,0.92,да
65,66,04-04-0212/008,"ул. Молдагуловой, д.22, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.22, корп.1",0.18,0.396,0.35,0.0,да
66,67,04-04-0212/008,"ул. Молдагуловой, д.22, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.18, корп.2",0.42,0.924,0.89,0.0,да
67,68,04-04-0212/008,"ул. Молдагуловой, д.22, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.20, стр.1",0.06,0.21,0.18,0.06,да
68,69,04-04-0212/008,"ул. Молдагуловой, д.22, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.16А",0.07,0.245,0.22,0.07,да
69,70,04-04-0212/008,"ул. Молдагуловой, д.22, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.22, корп.3",0.18,0.39613,0.38,0.0,да
70,71,04-04-0212/008,"ул. Молдагуловой, д.22, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.22, корп.2",0.22,0.484,0.41,0.0,да
71,72,04-04-0212/008,"ул. Молдагуловой, д.22, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Вешняковская ул., д.22, корп.2",0.41,0.9031921,0.82,0.0,да
72,73,04-04-0212/008,"ул. Молдагуловой, д.22, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.18, корп.1",0.25,0.55,0.51,0.0,да
73,74,04-04-0212/008,"ул. Молдагуловой, д.22, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Вешняковская ул., д.20А",0.0,0.0,0.1,0.0,да
74,75,04-04-0212/008,"ул. Молдагуловой, д.22, стр.4",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Вешняковская ул., д.20Б",0.0,0.0,0.142,0.0,да
75,76,04-04-0223/030,"Свободный просп., д.10, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1972-01-01,ПАО «МОЭК»,"Свободный просп., д.6, корп.3",0.0,0.0,0.2,0.0,да
76,77,04-04-0223/030,"Свободный просп., д.10, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1972-01-01,ПАО «МОЭК»,"Федеративный просп., д.21, корп.2",0.15,0.395,0.36,0.05,да
77,78,04-04-0223/030,"Свободный просп., д.10, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1972-01-01,ПАО «МОЭК»,"Свободный просп., д.8",0.0,0.0,0.06,0.0,да
78,79,04-04-0223/030,"Свободный просп., д.10, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1972-01-01,ПАО «МОЭК»,"Свободный просп., д.10, корп.2",0.0,0.0,0.21,0.0,да
79,80,04-04-0223/030,"Свободный просп., д.10, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1972-01-01,ПАО «МОЭК»,"Свободный просп., д.6, корп.1",0.0,0.0,0.17,0.0,да
80,81,04-04-0223/030,"Свободный просп., д.10, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1972-01-01,ПАО «МОЭК»,"Федеративный просп., д.21, корп.1",0.1,0.22,0.25,0.0,да
81,82,04-04-0223/030,"Свободный просп., д.10, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1972-01-01,ПАО «МОЭК»,"Свободный просп., д.10, корп.1",0.21,0.462,0.3,0.0,да
82,83,04-04-0223/030,"Свободный просп., д.10, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1972-01-01,ПАО «МОЭК»,"Федеративный просп., д.21, корп.2",0.0,0.0,0.0,0.0,да
83,84,04-04-0223/030,"Свободный просп., д.10, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1972-01-01,ПАО «МОЭК»,"Свободный просп., д.6, корп.2",0.0,0.0,0.2,0.0,да
84,85,04-04-0223/004,"Зелёный просп., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Новогиреево,1960-01-01,ПАО «МОЭК»,"Зелёный просп., д.73",0.11,0.242,0.21,0.0,нет
85,86,04-04-0223/004,"Зелёный просп., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Новогиреево,1960-01-01,ПАО «МОЭК»,"Зелёный просп., д.71, корп.1",0.09,0.198,0.22,0.0,нет
86,87,04-04-0223/004,"Зелёный просп., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Новогиреево,1960-01-01,ПАО «МОЭК»,"Зелёный просп., д.69, корп.2",0.09,0.198,0.165,0.0,нет
87,88,04-04-0223/004,"Зелёный просп., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Новогиреево,1960-01-01,ПАО «МОЭК»,"Зелёный просп., д.71, корп.2",0.09,0.1993,0.165,0.0,нет
88,89,04-04-0223/004,"Зелёный просп., д.71, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Новогиреево,1960-01-01,ПАО «МОЭК»,"Зелёный просп., д.69, корп.1",0.09,0.198,0.22,0.0,нет
89,90,20-02-0224/057,"Перовская ул., д.66Г",ИТП,Подвальное,ТЭЦ №22,Восточный,район Новогиреево,2014-02-07,ПАО «МОЭК»,"Перовская ул., д.66Г",0.078333,0.2741655,0.186,0.34,нет
90,91,04-01-0607/019,"Большая Черкизовская ул., д.2, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1961-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.4, корп.1",0.35,0.848,0.75,0.17,да
91,92,04-01-0607/019,"Большая Черкизовская ул., д.2, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1961-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.4, корп.2",0.1,0.22,0.17,0.0,да
92,93,04-01-0607/019,"Большая Черкизовская ул., д.2, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1961-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.2, корп.3",0.19,0.418,0.4,0.0,да
93,94,04-01-0607/019,"Большая Черкизовская ул., д.2, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1961-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.2, корп.1",0.0957,0.21145,0.152,0.0,да
94,95,04-01-0607/019,"Большая Черкизовская ул., д.2, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1961-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.2, корп.2",0.095,0.2108057,0.17,0.0,да
95,96,04-01-0610/034,"Краснобогатырская ул., вл.79А, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1992-01-01,ПАО «МОЭК»,"Алымов пер., д.4",0.429,0.9438,0.866,0.0,да
96,97,04-01-0610/034,"Краснобогатырская ул., вл.79А, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1992-01-01,ПАО «МОЭК»,"Краснобогатырская ул., д.79, корп.3А",0.31,0.695,1.281,0.0,да
97,98,04-01-0610/034,"Краснобогатырская ул., вл.79А, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1992-01-01,ПАО «МОЭК»,"Краснобогатырская ул., д.79, корп.2А",0.29,0.638,0.77,0.0,да
98,99,04-01-0610/034,"Краснобогатырская ул., вл.79А, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1992-01-01,ПАО «МОЭК»,"Краснобогатырская ул., д.79, корп.2Б",0.19,0.418,0.53,0.0,да
99,100,04-01-0610/034,"Краснобогатырская ул., вл.79А, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1992-01-01,ПАО «МОЭК»,"1-я Гражданская ул., д.96",0.031,0.1085,0.306,0.2,да
100,101,04-01-0610/034,"Краснобогатырская ул., вл.79А, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1992-01-01,ПАО «МОЭК»,"Краснобогатырская ул., д.79, корп.3Б",0.23,0.506,0.6,0.0,да
101,102,04-09-215,"Суздальская ул., д.14, корп.3, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1995-01-01,ПАО «МОЭК»,"Суздальская ул., д.14, корп.4",0.514234,1.1315007,1.10844,0.0,да
102,103,04-09-215,"Суздальская ул., д.14, корп.3, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1995-01-01,ПАО «МОЭК»,"Суздальская ул., д.20, корп.6",0.507846,1.1178293,1.1024,0.0,да
103,104,04-09-215,"Суздальская ул., д.14, корп.3, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1995-01-01,ПАО «МОЭК»,"Суздальская ул., д.18, корп.6",0.17505,0.3899018,0.29454,0.0,да
104,105,04-09-215,"Суздальская ул., д.14, корп.3, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1995-01-01,ПАО «МОЭК»,"Суздальская ул., д.18, корп.7",0.163909,0.3605998,0.2964,0.0,да
105,106,04-05-0602/057,"3-я Прядильная ул., д.17",ИТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1968-01-01,ПАО «МОЭК»,"3-я Прядильная ул., д.17",0.0,0.0,0.23,0.0,нет
